Date,Symbol,Series,Deliverable_Qty,Traded_Qty,Delivery_Pct
2025-11-04,AVADHSUGAR,EQ,6800.0,11323,60.05
2025-11-04,AVALON,EQ,63402.0,144900,43.76
2025-11-04,AVANTEL,EQ,408613.0,1088570,37.54
2025-11-04,AVANTIFEED,EQ,106375.0,179471,59.27
2025-11-04,AVG,EQ,10284.0,13341,77.09
2025-11-04,AVIANSH,SM,5000.0,5000,100.0
2025-11-04,AVL,EQ,244903.0,616116,39.75
2025-11-04,AVONMORE,EQ,59442.0,72828,81.62
2025-11-04,AVPINFRA,SM,30400.0,43200,70.37
2025-11-04,AVROIND,EQ,5944.0,7645,77.75
2025-11-04,AVTNPL,EQ,67682.0,158675,42.65
2025-11-04,AWFIS,EQ,190250.0,269521,70.59
2025-11-04,AWHCL,EQ,25085.0,42230,59.4
2025-11-04,AWL,EQ,2072079.0,3322377,62.37
2025-11-04,AXISBANK,EQ,1885153.0,3299345,57.14
2025-11-04,AXISBNKETF,EQ,132.0,138,95.65
2025-11-04,AXISBPSETF,EQ,24674.0,34160,72.23
2025-11-04,AXISCADES,BE,,32099,
2025-11-04,AXISCETF,EQ,1718.0,1723,99.71
2025-11-04,AXISGOLD,EQ,1162007.0,1335178,87.03
2025-11-04,AXISHCETF,EQ,1634.0,2765,59.1
2025-11-04,AXISILVER,EQ,611406.0,775345,78.86
2025-11-04,AXISNIFTY,EQ,2940.0,4022,73.1
2025-11-04,AXISTECETF,EQ,938.0,1496,62.7
2025-11-04,AXISVALUE,EQ,27433.0,44611,61.49
2025-11-04,AXITA,EQ,401338.0,845326,47.48
2025-11-04,AXSENSEX,EQ,803.0,923,87.0
2025-11-04,AYMSYNTEX,EQ,11868.0,21238,55.88
2025-11-04,AZAD,EQ,113141.0,206946,54.67
2025-11-04,BABAFP,SM,4800.0,11200,42.86
2025-11-04,BAFNAPH,BE,,2904,
2025-11-04,BAGDIGITAL,SM,36800.0,56000,65.71
2025-11-04,BAGFILMS,EQ,50595.0,66060,76.59
2025-11-04,BAHETI,SM,16125.0,22875,70.49
2025-11-04,BAIDFIN,EQ,61348.0,65903,93.09
2025-11-04,BAJAJ-AUTO,EQ,312299.0,517334,60.37
2025-11-04,BAJAJCON,EQ,624180.0,1274209,48.99
2025-11-04,BAJAJELEC,EQ,93098.0,169549,54.91
2025-11-04,BAJAJFINSV,EQ,291915.0,610128,47.84
2025-11-04,BAJAJHCARE,EQ,30557.0,73370,41.65
2025-11-04,BAJAJHFL,EQ,1339085.0,2271510,58.95
2025-11-04,BAJAJHIND,EQ,2275603.0,3872250,58.77
2025-11-04,BAJAJHLDNG,EQ,18702.0,35113,53.26
2025-11-04,BAJAJINDEF,EQ,18960.0,24595,77.09
2025-11-04,BAJEL,EQ,67757.0,117128,57.85
2025-11-04,BAJFINANCE,EQ,3296207.0,6202540,53.14
2025-11-04,BALAJEE,EQ,68854.0,115319,59.71
2025-11-04,BALAJIPHOS,ST,31000.0,31000,100.0
2025-11-04,BALAJITELE,EQ,225224.0,410098,54.92
2025-11-04,BALAMINES,EQ,15709.0,46550,33.75
2025-11-04,BALAXI,EQ,12917.0,19366,66.7
2025-11-04,BALCO,SM,9600.0,10800,88.89
2025-11-04,BALKRISHNA,EQ,10298.0,29195,35.27
2025-11-04,BALKRISIND,EQ,124150.0,252932,49.08
2025-11-04,BALMLAWRIE,EQ,25428.0,46604,54.56
2025-11-04,BALPHARMA,EQ,13128.0,20172,65.08
2025-11-04,BALRAMCHIN,EQ,166009.0,249029,66.66
2025-11-04,BALUFORGE,EQ,530463.0,1047305,50.65
2025-11-04,BANARBEADS,EQ,14756.0,33042,44.66
2025-11-04,BANARISUG,EQ,473.0,555,85.23
2025-11-04,BANCOINDIA,EQ,1067861.0,12962780,8.24
2025-11-04,BANDHANBNK,EQ,10331645.0,16071978,64.28
2025-11-04,BANG,EQ,6097.0,11205,54.41
2025-11-04,BANKA,EQ,3794.0,6450,58.82
2025-11-04,BANKBARODA,EQ,6145092.0,11837387,51.91
2025-11-04,BANKBEES,EQ,216799.0,431884,50.2
2025-11-04,BANKBETF,EQ,4589.0,6105,75.17
2025-11-04,BANKETF,EQ,1192.0,1330,89.62
2025-11-04,BANKETFADD,EQ,678.0,1105,61.36
2025-11-04,BANKIETF,EQ,251199.0,370311,67.83
2025-11-04,BANKINDIA,EQ,12654310.0,21244500,59.57
2025-11-04,BANKNIFTY1,EQ,26073.0,30490,85.51
2025-11-04,BANKPSU,EQ,15632.0,24454,63.92
2025-11-04,BANSALWIRE,EQ,131123.0,330582,39.66
2025-11-04,BANSWRAS,EQ,15855.0,21879,72.47
2025-11-04,BARFLEX,SM,12000.0,28000,42.86
2025-11-04,BASF,EQ,6685.0,10292,64.95
2025-11-04,BASILIC,SM,21600.0,28500,75.79
2025-11-04,BASML,EQ,41062.0,65290,62.89
2025-11-04,BATAINDIA,EQ,36718.0,103588,35.45
2025-11-04,BAWEJA,SM,9600.0,17600,54.55
2025-11-04,BAYERCROP,EQ,12684.0,23304,54.43
2025-11-04,BBETF0432,EQ,384.0,427,89.93
2025-11-04,BBL,EQ,14711.0,18220,80.74
2025-11-04,BBNPNBETF,EQ,898.0,1122,80.04
2025-11-04,BBNPPGOLD,EQ,807.0,1439,56.08
2025-11-04,BBOX,EQ,242486.0,537443,45.12
2025-11-04,BBTC,EQ,15154.0,32290,46.93
2025-11-04,BBTCL,EQ,1127.0,1934,58.27
2025-11-04,BCG,EQ,4238501.0,6595415,64.26
2025-11-04,BCLIND,EQ,111584.0,185041,60.3
2025-11-04,BCONCEPTS,BE,,11295,
