Symbol,Sector
FIBERWEB,Producer Manufacturing
FIDEL,OTHER
FIEMIND,Automobile and Auto Components
FILATEX,Process Industries
FILATFASH,Process Industries
FINBUD,OTHER
FINCABLES,Capital Goods
FINEORG,Chemicals
FINKURVE,OTHER
FINOPB,Finance
FINPIPE,Capital Goods
FIRSTCRY,Consumer Services
FISCHER,OTHER
FIVESTAR,Financial Services
FLAIR,OTHER
FLEXITUFF,OTHER
FLFL,Retail Trade
FLUOROCHEM,Chemicals
FLYSBS,OTHER
FMGOETZE,OTHER
FMNL,Transportation
FOCE,OTHER
FOCUS,OTHER
FONEBOX,OTHER
FOODSIN,Consumer Non-Durables
FORCAS,OTHER
FORCEMOT,Automobile and Auto Components
FORGEAUTO,OTHER
FORTIS,Healthcare
FOSECOIND,Process Industries
FRESHARA,OTHER
FROG,OTHER
FSL,Services
FUSION,OTHER
GABRIEL,Automobile and Auto Components
GAEL,Fast Moving Consumer Goods
GAIL,Oil Gas & Consumable Fuels
GAJANAND,OTHER
GALAPREC,OTHER
GALAXYSURF,Consumer Non-Durables
GALLANTT,Capital Goods
GANDHAR,OTHER
GANDHITUBE,Non-Energy Minerals
GANECOS,Textiles
GANESHBE,Process Industries
GANESHCP,OTHER
GANESHHOU,Realty
GANESHIN,OTHER
GANGABATH,OTHER
GANGAFORGE,Producer Manufacturing
GANGESSECU,Finance
GARFIBRES,Textiles
GARUDA,OTHER
GATECH,Finance
GATECHDVR,Finance
GATEWAY,Services
GAYAHWS,Industrial Services
GCHOTELS,OTHER
GCSL,OTHER
GEECEE,Finance
GEEKAYWIRE,Non-Energy Minerals
GEMAROMA,OTHER
GENCON,OTHER
GENESYS,OTHER
GENSOL,Industrial Services
GENUSPAPER,Process Industries
GENUSPOWER,OTHER
GEOJITFSL,OTHER
GESHIP,Services
GFLLIMITED,Consumer Services
GGBL,OTHER
GHCL,Chemicals
GHCLTEXTIL,Process Industries
GICHSGFIN,Finance
GICL,OTHER
GICRE,Financial Services
GILLANDERS,Consumer Non-Durables
GILLETTE,Fast Moving Consumer Goods
GINNIFILA,Process Industries
GIPCL,OTHER
GIRIRAJ,OTHER
GKENERGY,OTHER
GKWLIMITED,Transportation
GLAND,Healthcare
GLAXO,Healthcare
GLENMARK,Healthcare
GLOBAL,Commercial Services
GLOBALE,OTHER
GLOBALPET,OTHER
GLOBALVECT,Industrial Services
GLOBE,OTHER
GLOBECIVIL,OTHER
GLOBUSSPR,Consumer Non-Durables
GLOSTERLTD,Process Industries
GLOTTIS,OTHER
GMBREW,Consumer Non-Durables
GMDCLTD,Metals & Mining
GML,OTHER
GMMPFAUDLR,Capital Goods
GMRAIRPORT,Services
GMRP&UI,Power
GNA,Producer Manufacturing
GNFC,Chemicals
GOACARBON,Process Industries
GOCLCORP,Process Industries
GOCOLORS,Consumer Non-Durables
GODAVARIB,OTHER
GODFRYPHLP,Fast Moving Consumer Goods
GODIGIT,Financial Services
GODREJAGRO,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJIND,Diversified
GODREJPROP,Realty
GOKEX,Textiles
GOKUL,OTHER
GOKULAGRO,Process Industries
GOLDENTOBC,Finance
GOLDIAM,Consumer Durables
GOLDKART,OTHER
GOLDSTAR,OTHER
GOLDTECH,Technology Services
GOODLUCK,Non-Energy Minerals
GOPAL,Consumer Non-Durables
GOYALALUM,Distribution Services
GOYALSALT,OTHER
GPECO,OTHER
GPIL,Capital Goods
GPPL,Services
GPTHEALTH,Health Services
GPTINFRA,Industrial Services
GRANULES,Healthcare
GRAPHISAD,OTHER
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GRAVITA,Metals & Mining
GRCL,OTHER
GREAVESCOT,Capital Goods
GREENCHEF,OTHER
GREENLAM,Non-Energy Minerals
GREENLEAF,OTHER
GREENPANEL,Consumer Durables
GREENPLY,Producer Manufacturing
GREENPOWER,Utilities
GRETEX,OTHER
GRINDWELL,Process Industries
GRINFRA,Construction
GRMOVER,Process Industries
GROBTEA,OTHER
GROWW,OTHER
GRPLTD,Producer Manufacturing
GRSE,Capital Goods
GRWRHITECH,Capital Goods
GSFC,Chemicals
GSLSU,Non-Energy Minerals
GSMFOILS,OTHER
GSPL,Oil Gas & Consumable Fuels
GSS,Technology Services
GSTL,OTHER
GTECJAINX,Commercial Services
GTL,Technology Services
GTLINFRA,Industrial Services
GTPL,Communications
GUFICBIO,Health Technology
GUJALKALI,OTHER
GUJAPOLLO,Producer Manufacturing
GUJGASLTD,Oil Gas & Consumable Fuels
GUJRAFFIA,Producer Manufacturing
GUJTHEM,Health Technology
GULFOILLUB,Oil Gas & Consumable Fuels
GULFPETRO,Energy Minerals
GULPOLY,Consumer Non-Durables
GURUNANAK,OTHER
GVKPIL,Industrial Services
GVPIL,Industrial Services
