Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-11-14,JINDRILL,EQ,575.0,575.05,564.2,571.55,569.65,95357,544.45
2025-11-14,JINDWORLD,EQ,34.96,35.06,34.2,34.28,34.81,398196,136.87
2025-11-14,JIOFIN,EQ,311.0,315.7,309.3,314.9,310.7,13675544,42948.89
2025-11-14,JISLDVREQS,EQ,30.69,30.69,28.5,29.32,30.71,28779,8.47
2025-11-14,JISLJALEQS,EQ,47.75,48.47,47.27,47.54,47.89,1906647,910.73
2025-11-14,JITFINFRA,BE,302.15,309.0,300.6,302.55,306.0,10231,31.21
2025-11-14,JIWANRAM,SM,6.9,6.95,6.9,6.95,7.0,12000,0.83
2025-11-14,JKCEMENT,EQ,5650.0,5654.5,5505.0,5556.0,5626.5,100122,5561.46
2025-11-14,JKIL,EQ,614.4,619.95,607.0,614.95,614.4,101299,622.03
2025-11-14,JKIPL,EQ,111.11,120.74,110.51,117.85,111.1,752443,883.02
2025-11-14,JKLAKSHMI,EQ,820.0,830.8,816.2,820.5,826.45,90019,739.78
2025-11-14,JKPAPER,EQ,383.35,384.45,379.65,380.5,383.0,77647,295.65
2025-11-14,JKTYRE,EQ,466.0,473.95,458.0,460.0,465.75,712193,3308.97
2025-11-14,JLHL,EQ,1497.8,1516.4,1450.5,1464.1,1497.8,118275,1760.42
2025-11-14,JMA,EQ,87.05,88.73,86.05,87.89,87.05,9474,8.32
2025-11-14,JMFINANCIL,EQ,154.8,154.8,149.05,150.67,154.1,3558536,5367.26
2025-11-14,JNKINDIA,EQ,310.0,310.0,281.0,283.75,279.5,455481,1332.16
2025-11-14,JOCIL,EQ,152.98,152.99,149.1,149.78,149.0,776,1.17
2025-11-14,JPOLYINVST,EQ,974.95,974.95,950.0,952.85,981.05,5144,49.37
2025-11-14,JPPOWER,EQ,17.8,17.99,17.71,17.76,17.94,17883896,3187.06
2025-11-14,JSFB,EQ,453.2,468.0,452.3,464.55,458.1,267764,1229.52
2025-11-14,JSL,EQ,742.6,748.8,736.15,738.05,738.9,424102,3141.61
2025-11-14,JSLL,EQ,732.0,737.8,702.0,709.5,739.4,248810,1785.25
2025-11-14,JSWCEMENT,EQ,127.14,128.23,125.8,126.38,128.75,1600964,2028.8
2025-11-14,JSWENERGY,EQ,525.05,531.75,522.55,528.8,528.3,1755919,9270.33
2025-11-14,JSWHL,EQ,16721.0,17290.0,16630.0,17192.0,16721.0,2526,431.14
2025-11-14,JSWINFRA,EQ,281.15,283.75,279.2,280.9,281.35,904303,2539.62
2025-11-14,JSWSTEEL,EQ,1182.1,1182.9,1159.0,1167.8,1183.9,1059030,12362.7
2025-11-14,JTEKTINDIA,EQ,158.5,162.8,157.46,160.9,158.22,127614,205.02
2025-11-14,JTLIND,EQ,60.74,63.11,59.61,60.85,60.61,2441223,1506.72
2025-11-14,JUBLCPL,BE,2475.0,2500.0,2400.0,2475.2,2483.3,4141,101.48
2025-11-14,JUBLFOOD,EQ,604.95,622.95,599.3,615.3,573.5,15681619,96571.21
2025-11-14,JUBLINGREA,EQ,689.5,689.5,670.5,683.0,681.5,126564,860.37
2025-11-14,JUBLPHARMA,EQ,1126.0,1135.0,1120.1,1131.4,1126.0,113727,1283.7
2025-11-14,JUNIORBEES,EQ,773.87,773.87,743.82,750.88,751.33,258929,1944.52
2025-11-14,JUNIPER,EQ,243.3,249.5,240.95,248.35,242.65,165391,406.25
2025-11-14,JUSTDIAL,EQ,744.3,746.5,733.05,734.95,744.3,89843,663.73
2025-11-14,JWL,EQ,306.3,308.2,301.5,304.0,306.3,718447,2183.07
2025-11-14,JYOTHYLAB,EQ,309.0,312.6,308.95,310.85,309.85,118864,369.52
2025-11-14,JYOTICNC,EQ,945.55,975.65,945.5,955.35,949.4,442790,4253.09
2025-11-14,JYOTIGLOBL,SM,57.2,57.2,57.2,57.2,57.45,2000,1.14
2025-11-14,JYOTISTRUC,EQ,11.58,11.95,11.5,11.7,11.56,5639680,659.33
2025-11-14,K2INFRA,SM,58.6,58.65,56.6,58.6,55.9,47400,27.54
2025-11-14,KABRAEXTRU,EQ,218.49,222.8,217.11,218.5,218.49,22683,49.85
2025-11-14,KAJARIACER,EQ,1128.3,1135.5,1117.0,1123.8,1128.3,97952,1100.24
2025-11-14,KAKATCEM,EQ,141.7,141.7,138.0,139.8,138.14,798,1.12
2025-11-14,KALAMANDIR,EQ,172.5,173.7,168.0,168.5,173.8,1188020,2020.27
2025-11-14,KALANA,SM,25.55,26.45,25.55,26.45,25.55,6000,1.55
2025-11-14,KALPATARU,EQ,367.9,372.0,367.1,368.15,368.4,216730,801.72
2025-11-14,KALYANIFRG,EQ,680.0,705.0,680.0,698.7,688.0,2160,15.05
2025-11-14,KALYANKJIL,EQ,500.0,501.4,491.0,495.5,498.75,2174899,10794.16
2025-11-14,KAMATHOTEL,EQ,238.4,239.75,233.1,237.1,238.4,68890,163.14
2025-11-14,KAMDHENU,EQ,27.87,27.87,27.0,27.28,27.91,503731,138.05
2025-11-14,KAMOPAINTS,EQ,7.92,7.96,7.1,7.77,7.95,590002,45.88
2025-11-14,KANANIIND,EQ,1.83,1.87,1.76,1.78,1.85,265713,4.8
2025-11-14,KANORICHEM,EQ,77.3,77.3,76.55,76.88,76.54,8457,6.51
2025-11-14,KANPRPLA,EQ,205.2,209.6,205.2,206.72,207.01,4364,9.05
2025-11-14,KANSAINER,EQ,249.34,251.09,245.96,248.8,249.34,391654,973.59
2025-11-14,KAPSTON,EQ,307.8,346.45,306.05,322.65,307.8,117037,378.49
2025-11-14,KARMAENG,BE,54.0,54.0,52.37,53.51,54.0,4433,2.37
2025-11-14,KARNIKA,SM,139.0,152.9,139.0,151.2,139.0,83000,123.57
2025-11-14,KARURVYSYA,EQ,250.11,252.4,249.1,249.6,251.84,817728,2050.78
2025-11-14,KATARIA,SM,98.15,98.15,98.15,98.15,98.15,1200,1.18
2025-11-14,KAUSHALYA,BE,988.0,997.0,956.1,994.6,988.1,421,4.13
2025-11-14,KAVDEFENCE,BE,108.17,108.17,108.17,108.17,110.38,14201,15.36
2025-11-14,KAYA,BE,414.0,427.45,396.4,423.15,413.5,10743,44.74
2025-11-14,KAYNES,EQ,6365.5,6405.5,6277.0,6332.0,6376.5,287029,18176.85
2025-11-14,KAYTEX,SM,85.5,86.5,84.5,86.5,86.4,4800,4.09
2025-11-14,KCEIL,SM,183.9,187.0,181.2,182.45,184.8,38500,70.36
2025-11-14,KCK,ST,29.4,29.4,28.0,29.3,28.0,450000,130.4
2025-11-14,KCP,EQ,195.3,195.3,183.0,186.31,195.3,599681,1123.98
2025-11-14,KCPSUGIND,EQ,27.4,28.02,27.35,27.94,27.38,104915,29.25
2025-11-14,KDDL,EQ,2456.0,2475.0,2414.2,2443.3,2478.8,14331,350.25
2025-11-14,KDL,SM,197.45,197.45,178.65,180.55,188.05,44850,85.34
2025-11-14,KEC,EQ,784.0,803.05,778.55,791.55,784.6,717179,5673.19
2025-11-14,KECL,EQ,114.75,115.56,113.5,113.92,114.74,103709,118.25
2025-11-14,KEEPLEARN,EQ,2.73,2.73,2.64,2.67,2.73,35105,0.94
2025-11-14,KEI,EQ,4130.0,4130.0,4072.2,4112.8,4113.6,71271,2929.72
2025-11-14,KEL,SM,109.0,109.0,104.1,104.1,104.15,4800,5.11
2025-11-14,KELLTONTEC,EQ,21.32,21.33,20.9,21.02,21.22,1558066,328.28
2025-11-14,KEN,SM,47.0,48.0,46.75,47.65,47.1,6000,2.84
2025-11-14,KERNEX,EQ,1212.1,1292.0,1191.2,1267.8,1316.6,544713,6739.13
2025-11-14,KESORAMIND,EQ,4.98,5.03,4.96,5.0,4.97,505067,25.24
2025-11-14,KEYFINSERV,EQ,344.25,356.25,333.1,340.15,345.45,10051,34.66
2025-11-14,KFINTECH,EQ,1080.0,1093.8,1076.2,1084.1,1083.1,276013,2996.18
2025-11-14,KHADIM,EQ,226.06,228.72,221.15,223.1,226.05,17423,39.08
2025-11-14,KHAICHEM,EQ,97.4,98.25,94.05,94.91,97.18,239655,229.92
2025-11-14,KHAITANLTD,EQ,111.3,111.5,100.35,104.26,111.18,4944,5.24
2025-11-14,KHANDSE,EQ,23.15,24.8,22.16,23.12,23.39,44790,10.55
2025-11-14,KICL,EQ,5149.0,5224.0,5055.5,5214.0,5083.5,3640,187.79
2025-11-14,KILITCH,EQ,367.6,376.8,356.95,359.35,367.6,56357,206.54
